父件预入仓库	父件商品	生产数量	成品率%	子件预出仓库	子件商品	生产数量	子件版本号	计量单位	需用数量	固定损耗数量
自制半成品仓	C121_MCM_次叶片3_CR	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0042	0
自制半成品仓	C121_MCM_次叶片4_CR	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0035	0
自制半成品仓	C121_MCM_次叶片5_CR	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0034	0
自制半成品仓	C121_MCM_次叶片1_CL	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0044	0
自制半成品仓	C121_MCM_次叶片2_CL	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0045	0
自制半成品仓	C121_MCM_次叶片3_CL	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0045	0
自制半成品仓	C121_MCM_次叶片4_CL	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0038	0
自制半成品仓	C121_MCM_次叶片5_CL	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0038	0
自制半成品仓	C121_MCM_次叶片6_CL	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0036	0
自制半成品仓	C121_MCM_次叶片支架1_CR	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0071	0
自制半成品仓	C121_MCM_次叶片支架2_CR	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0069	0
自制半成品仓	C121_MCM_次叶片支架1_CL	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0074	0
自制半成品仓	C121_MCM_次叶片支架2_CL	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0073	0
自制半成品仓	C121_MCM_次叶片连杆_CR	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0055	0
自制半成品仓	C121_MCM_次叶片连杆_CL	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0063	0
自制半成品仓	C121_MCM_壳体_C	1	100.0000%	原材料仓	PP-T20.API-2012 T4.KP5649BK.KINGFA	1		千克	0.2225	0
自制半成品仓	C121_MCM_壳体_LH	1	100.0000%	原材料仓	PP-T20.API-2012 T4.KP5649BK.KINGFA	1		千克	0.0813	0
自制半成品仓	C121_MCM_次叶片1_LH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0048	0
自制半成品仓	C121_MCM_次叶片2_LH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0085	0
自制半成品仓	C121_MCM_次叶片3_LH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0057	0
自制半成品仓	C121_MCM_次叶片4_LH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.004	0
自制半成品仓	C121_MCM_次叶片5_LH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0026	0
自制半成品仓	C121_MCM_次叶片支架1_LH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0051	0
自制半成品仓	C121_MCM_次叶片支架2_LH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0055	0
自制半成品仓	C121_MCM_次叶片连杆_LH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0032	0
自制成品仓	C121_MCM_主叶片2_LH	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0112	0
自制成品仓	C121_MCM_主叶片支架1_LH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0041	0
自制成品仓	C121_MCM_主叶片支架2_LH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0033	0
自制成品仓	C121_MCM_主叶片连杆_LH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0011	0
自制成品仓	C121_MCM_主叶片1_LH	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0177	0
自制成品仓	C121_MCM_主叶片3_LH	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0152	0
自制半成品仓	C121_MCM_壳体_RH	1	100.0000%	原材料仓	PP-T20.API-2012 T4.KP5649BK.KINGFA	1		千克	0.0817	0
自制半成品仓	C121_MCM_次叶片1_RH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0051	0
自制半成品仓	C121_MCM_次叶片2_RH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0091	0
